V_L,X,C_A_mol_L,fidelidad
0.5,0.04471781204023405,1.9105643759195319,baja
0.9152542372881356,0.08078664050773574,1.8384267189845285,baja
1.3305084745762712,0.11008660630574209,1.7798267873885159,baja
1.7457627118644068,0.1352941117394946,1.7294117765210109,baja
2.1610169491525424,0.15893952530715746,1.682120949385685,baja
2.576271186440678,0.1922264551381941,1.6155470897236117,baja
2.9915254237288136,0.22346941152451505,1.55306117695097,baja
3.406779661016949,0.25749105006471257,1.485017899870575,baja
3.8220338983050848,0.2765729139888107,1.4468541720223786,baja
4.237288135593221,0.3024498432595404,1.3951003134809192,baja
4.652542372881356,0.32504403669024434,1.3499119266195114,baja
5.067796610169491,0.3496169863825501,1.3007660272348998,baja
5.483050847457627,0.37404957665149324,1.2519008466970134,baja
5.898305084745763,0.3955541348112695,1.2088917303774611,baja
6.313559322033898,0.41450202952545107,1.1709959409490978,baja
6.728813559322034,0.43187471301229835,1.1362505739754032,baja
7.1440677966101696,0.4572910780265907,1.0854178439468187,baja
7.559322033898305,0.47442972190416455,1.051140556191671,baja
7.974576271186441,0.49134676724787063,1.0173064655042587,baja
8.389830508474576,0.5082719377526537,0.9834561244946927,baja
8.805084745762713,0.5226153814039111,0.9547692371921779,baja
9.220338983050848,0.5377234435096925,0.924553112980615,baja
9.635593220338983,0.5563972619972017,0.8872054760055965,baja
10.05084745762712,0.5756723802017234,0.8486552395965532,baja
10.466101694915254,0.5918010059991606,0.8163979880016787,baja
10.88135593220339,0.5999981575109886,0.8000036849780228,baja
11.296610169491526,0.6129238425007109,0.7741523149985783,baja
11.711864406779661,0.6332703106999449,0.7334593786001102,baja
12.127118644067796,0.6394696296250723,0.7210607407498555,baja
12.542372881355933,0.6578208359613652,0.6843583280772696,baja
12.957627118644067,0.6653710680178296,0.6692578639643407,baja
13.372881355932204,0.6817281789569802,0.6365436420860395,baja
13.788135593220339,0.6908752725298157,0.6182494549403685,baja
14.203389830508474,0.7024385657114408,0.5951228685771184,baja
14.61864406779661,0.7021511980613796,0.5956976038772408,baja
15.033898305084746,0.7217661307262694,0.5564677385474612,baja
15.449152542372882,0.730373863422599,0.539252273154802,baja
15.864406779661017,0.7374887279052578,0.5250225441894845,baja
16.279661016949152,0.7486326335666763,0.5027347328666474,baja
16.694915254237287,0.7563405813408431,0.4873188373183137,baja
17.110169491525426,0.7637930442720063,0.4724139114559873,baja
17.52542372881356,0.7794060214738132,0.44118795705237357,baja
17.940677966101696,0.7855366676346297,0.4289266647307406,baja
18.35593220338983,0.7943175271659698,0.41136494566806037,baja
18.771186440677965,0.8001637189603097,0.3996725620793806,baja
19.1864406779661,0.8014110572753148,0.3971778854493704,baja
19.60169491525424,0.8163839761662958,0.36723204766740847,baja
20.016949152542374,0.8124353493261847,0.3751293013476307,baja
20.43220338983051,0.8171686484521218,0.36566270309575644,baja
20.847457627118644,0.8283203534360715,0.34335929312785707,baja
21.26271186440678,0.8393512416229566,0.3212975167540868,baja
21.677966101694917,0.841639953092463,0.31672009381507404,baja
22.093220338983052,0.8490005710414192,0.3019988579171615,baja
22.508474576271187,0.8541253338864321,0.29174933222713584,baja
22.923728813559322,0.8634748351463832,0.27305032970723353,baja
23.338983050847457,0.860093082563075,0.2798138348738499,baja
23.75423728813559,0.861884726639564,0.2762305467208721,baja
24.16949152542373,0.8708921306633121,0.2582157386733759,baja
24.584745762711865,0.8694945879823611,0.26101082403527776,baja
25.0,0.8713964004799692,0.2572071990400615,baja
